"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"A1, A2, A3, A4, B1, B2, B3, B4, DOWN1, LEFT1, RIGHT1, UP1, UP2";"SW_MX_HS_CPG151101S11_1u";13;"MX_SW_HS";;;
2;"C1, C2, C3, C11, C16";"C_0603_1608Metric";5;"1u";;;
3;"C4, C5, C6, C7, C8, C9, C10, C12, C13";"C_0603_1608Metric";9;"100n";;;
4;"C14, C15";"C_0603_1608Metric";2;"30p";;;
5;"C17";"C_0603_1608Metric";1;"C";;;
6;"D2, D3, D4, D5, D6, D7, D8, D9, D10, D11, D12, D13, D14";"D_SOD-323";13;"1N4001";;;
7;"F1";"Fuse_1206_3216Metric";1;"1A";;;
8;"FB1";"L_0402_1005Metric";1;"100 oHM 100 MHz";;;
9;"J1";"USB_C_Receptacle_GCT_USB4085";1;"USB_C_Receptacle_USB2.0_16P";;;
10;"J2";"JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal";1;"JST- 1.00mm 4 Pin";;;
11;"R1, R2";"R_0805_2012Metric";2;"5100";;;
12;"R3, R4";"R_0805_2012Metric";2;"22";;;
13;"R5";"R_0805_2012Metric";1;"1000";;;
14;"R6, R7";"R_0805_2012Metric";2;"1k";;;
15;"Select1, Start1, SW1, SW2";"KSA_Tactile_SPST";4;"SW_Push";;;
16;"U1";"QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm";1;"RP2040";;;
17;"U2";"SOT-23-6";1;"USBLC6-2SC6";;;
18;"U3";"TSOT-23";1;"AP2127N3-1.2";;;
19;"U4";"WSON-8-1EP_6x5mm_P1.27mm_EP3.4x4mm";1;"MX25R3235FZNxx0";;;
20;"U5";"LCD_OLED_128X64_1.3_I2C";1;"ER_OLEDM0.91_1x-I2C";;;
21;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"12MHz Crystal 3225";;;
