Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
A1,MX_SW_HS,SW_MX_HS_CPG151101S11_1u,131.367296,-65.940175,-10.0,top
A2,MX_SW_HS,SW_MX_HS_CPG151101S11_1u,110.954845,-60.310056,-10.0,top
A3,MX_SW_HS,SW_MX_HS_CPG151101S11_1u,89.115427,-57.474604,-10.0,top
A4,MX_SW_HS,SW_MX_HS_CPG151101S11_1u,68.232275,-57.854047,-10.0,top
B1,MX_SW_HS,SW_MX_HS_CPG151101S11_1u,127.841049,-85.708169,-10.0,top
B2,MX_SW_HS,SW_MX_HS_CPG151101S11_1u,107.403097,-79.992319,-10.0,top
B3,MX_SW_HS,SW_MX_HS_CPG151101S11_1u,85.642463,-77.170759,-10.0,top
B4,MX_SW_HS,SW_MX_HS_CPG151101S11_1u,64.759311,-77.550202,-10.0,top
C1,1u,C_0603_1608Metric,143.5,-24.275,-90.0,top
C10,100n,C_0603_1608Metric,174.725,-42.5,180.0,top
C11,1u,C_0603_1608Metric,162.0,-32.275,-90.0,top
C12,100n,C_0603_1608Metric,175.225,-22.5,0.0,top
C13,100n,C_0603_1608Metric,174.775,-32.5,0.0,top
C14,30p,C_0603_1608Metric,166.225,-50.0,180.0,top
C15,30p,C_0603_1608Metric,166.275,-44.5,180.0,top
C16,1u,C_0603_1608Metric,157.5,-20.5,90.0,top
C17,C,C_0603_1608Metric,70.5,-21.995,90.0,top
C2,1u,C_0603_1608Metric,178.15,-26.5,180.0,top
C3,1u,C_0603_1608Metric,157.5,-24.5,-90.0,top
C4,100n,C_0603_1608Metric,135.725,-32.0,180.0,top
C5,100n,C_0603_1608Metric,167.225,-36.0,180.0,top
C6,100n,C_0603_1608Metric,119.725,-32.0,180.0,top
C7,100n,C_0603_1608Metric,154.0,-24.5,-90.0,top
C8,100n,C_0603_1608Metric,200.0,-31.5,0.0,top
C9,100n,C_0603_1608Metric,154.775,-29.5,180.0,top
D10,1N4001,D_SOD-323,154.01,-122.5,180.0,top
D11,1N4001,D_SOD-323,125.747179,-92.793692,170.0,top
D12,1N4001,D_SOD-323,105.334728,-87.163573,170.0,top
D13,1N4001,D_SOD-323,83.574094,-84.342013,170.0,top
D14,1N4001,D_SOD-323,62.690943,-84.721456,170.0,top
D2,1N4001,D_SOD-323,181.439792,-93.342085,-170.0,top
D3,1N4001,D_SOD-323,200.692784,-89.947263,-170.0,top
D4,1N4001,D_SOD-323,197.257403,-70.752194,-170.0,top
D5,1N4001,D_SOD-323,219.76047,-86.077402,-170.0,top
